"herbicide","concentration","fvfm"
"hexazinone",0.3,0.66
"simazine",3,0.69
"atrazine",1,0.56
"irgarol",0.3,0.57
"diuron",0.3,0.63
"ametryn",0.3,0.62
"tebuthiuron",0.3,0.71
"hexazinone",0.3,0.65
"simazine",3,0.7
"atrazine",1,0.61
"irgarol",0.3,0.47
"diuron",0.3,0.65
"ametryn",0.3,0.63
"tebuthiuron",0.3,0.72
"hexazinone",0.3,0.71
"simazine",3,0.59
"atrazine",1,0.59
"irgarol",0.3,0.42
"diuron",0.3,0.59
"ametryn",0.3,0.61
"tebuthiuron",0.3,0.71
"hexazinone",0.3,0.67
"simazine",3,0.64
"atrazine",1,0.58
"irgarol",0.3,0.49
"diuron",0.3,0.66
"ametryn",0.3,0.62
"tebuthiuron",0.3,0.71
"hexazinone",0.3,0.65
"simazine",3,0.7
"atrazine",1,0.58
"irgarol",0.3,0.46
"diuron",0.3,0.64
"ametryn",0.3,0.57
"tebuthiuron",0.3,0.71
"hexazinone",0.3,0.68
"simazine",3,0.68
"atrazine",1,0.61
"irgarol",0.3,0.44
"diuron",0.3,0.67
"ametryn",0.3,0.61
"tebuthiuron",0.3,0.72
"hexazinone",0.3,0.68
"simazine",3,0.61
"atrazine",1,0.67
"irgarol",0.3,0.51
"diuron",0.3,0.62
"ametryn",0.3,0.61
"tebuthiuron",0.3,0.72
"hexazinone",0.3,0.71
"simazine",3,0.69
"atrazine",1,0.65
"irgarol",0.3,0.47
"diuron",0.3,0.62
"ametryn",0.3,0.6
"tebuthiuron",0.3,0.64
"hexazinone",0.3,0.69
"simazine",3,0.68
"atrazine",1,0.62
"irgarol",0.3,0.58
"diuron",0.3,0.65
"ametryn",0.3,0.62
"tebuthiuron",0.3,0.68
"hexazinone",0.3,0.63
"simazine",3,0.71
"atrazine",1,0.66
"irgarol",1,0.11
"diuron",1,0.5
"ametryn",1,0.48
"tebuthiuron",1,0.72
"hexazinone",1,0.64
"simazine",10,0.64
"atrazine",3,0.58
"irgarol",1,0.15
"diuron",1,0.47
"ametryn",1,0.46
"tebuthiuron",1,0.69
"hexazinone",1,0.55
"simazine",10,0.58
"atrazine",3,0.52
"irgarol",1,0.25
"diuron",1,0.52
"ametryn",1,0.5
"tebuthiuron",1,0.71
"hexazinone",1,0.64
"simazine",10,0.62
"atrazine",3,0.55
"irgarol",1,0.2
"diuron",1,0.52
"ametryn",1,0.48
"tebuthiuron",1,0.69
"hexazinone",1,0.58
"simazine",10,0.62
"atrazine",3,0.5
"irgarol",1,0.2
"diuron",1,0.49
"ametryn",1,0.41
"tebuthiuron",1,0.72
"hexazinone",1,0.63
"simazine",10,0.65
"atrazine",3,0.61
"irgarol",1,0.12
"diuron",1,0.49
"ametryn",1,0.43
"tebuthiuron",1,0.71
"hexazinone",1,0.63
"simazine",10,0.65
"atrazine",3,0.56
"irgarol",1,0.16
"diuron",1,0.48
"ametryn",1,0.43
"tebuthiuron",1,0.71
"hexazinone",1,0.6
"simazine",10,0.66
"atrazine",3,0.57
"irgarol",1,0.22
"diuron",1,0.47
"ametryn",1,0.41
"tebuthiuron",1,0.7
"hexazinone",1,0.6
"simazine",10,0.64
"atrazine",3,0.56
"irgarol",1,0.15
"diuron",1,0.5
"ametryn",1,0.42
"tebuthiuron",1,0.72
"hexazinone",1,0.69
"simazine",10,0.67
"atrazine",3,0.59
"irgarol",1,0.17
"diuron",1,0.49
"ametryn",1,0.4
"tebuthiuron",1,0.72
"hexazinone",1,0.68
"simazine",10,0.66
"atrazine",3,0.57
"irgarol",1,0.19
"diuron",1,0.48
"ametryn",1,0.39
"tebuthiuron",1,0.67
"hexazinone",1,0.65
"simazine",10,0.65
"atrazine",3,0.56
"irgarol",1,0.19
"diuron",1,0.48
"ametryn",1,0.4
"tebuthiuron",1,0.71
"hexazinone",1,0.64
"simazine",10,0.64
"atrazine",3,0.58
"irgarol",3,0.03
"diuron",3,0.3
"ametryn",3,0.19
"tebuthiuron",3,0.71
"hexazinone",3,0.54
"simazine",30,0.53
"atrazine",10,0.52
"irgarol",3,0.02
"diuron",3,0.26
"ametryn",3,0.18
"tebuthiuron",3,0.72
"hexazinone",3,0.52
"simazine",30,0.54
"atrazine",10,0.47
"irgarol",3,0.05
"diuron",3,0.27
"ametryn",3,0.16
"tebuthiuron",3,0.7
"hexazinone",3,0.57
"simazine",30,0.54
"atrazine",10,0.49
"irgarol",3,0.02
"diuron",3,0.29
"ametryn",3,0.16
"tebuthiuron",3,0.67
"hexazinone",3,0.52
"simazine",30,0.56
"atrazine",10,0.48
"irgarol",3,0.02
"diuron",3,0.3
"ametryn",3,0.16
"tebuthiuron",3,0.71
"hexazinone",3,0.51
"simazine",30,0.55
"atrazine",10,0.55
"irgarol",3,0.03
"diuron",3,0.25
"ametryn",3,0.17
"tebuthiuron",3,0.7
"hexazinone",3,0.48
"simazine",30,0.55
"atrazine",10,0.52
"irgarol",3,0.03
"diuron",3,0.26
"ametryn",3,0.16
"tebuthiuron",3,0.68
"hexazinone",3,0.54
"simazine",30,0.55
"atrazine",10,0.54
"irgarol",3,0.02
"diuron",3,0.27
"ametryn",3,0.15
"tebuthiuron",3,0.68
"hexazinone",3,0.55
"simazine",30,0.56
"atrazine",10,0.54
"irgarol",3,0.01
"diuron",3,0.27
"ametryn",3,0.18
"tebuthiuron",3,0.68
"hexazinone",3,0.57
"simazine",30,0.56
"atrazine",10,0.53
"irgarol",3,0.02
"diuron",3,0.25
"ametryn",3,0.18
"tebuthiuron",3,0.68
"hexazinone",3,0.51
"simazine",30,0.59
"atrazine",10,0.45
"irgarol",3,0.02
"diuron",3,0.26
"ametryn",3,0.15
"tebuthiuron",3,0.69
"hexazinone",3,0.58
"simazine",30,0.59
"atrazine",10,0.53
"irgarol",3,0.03
"diuron",3,0.26
"ametryn",3,0.16
"tebuthiuron",3,0.68
"hexazinone",3,0.52
"simazine",30,0.57
"atrazine",10,0.5
"irgarol",10,0.02
"diuron",10,0.09
"ametryn",10,0.08
"tebuthiuron",10,0.69
"hexazinone",10,0.2
"simazine",100,0.4
"atrazine",30,0.29
"irgarol",10,0.01
"diuron",10,0.09
"ametryn",10,0.07
"tebuthiuron",10,0.7
"hexazinone",10,0.19
"simazine",100,0.4
"atrazine",30,0.35
"irgarol",10,0.01
"diuron",10,0.09
"ametryn",10,0.06
"tebuthiuron",10,0.67
"hexazinone",10,0.21
"simazine",100,0.42
"atrazine",30,0.36
"irgarol",10,0.01
"diuron",10,0.1
"ametryn",10,0.05
"tebuthiuron",10,0.67
"hexazinone",10,0.23
"simazine",100,0.41
"atrazine",30,0.35
"irgarol",10,0.01
"diuron",10,0.1
"ametryn",10,0.09
"tebuthiuron",10,0.67
"hexazinone",10,0.31
"simazine",100,0.38
"atrazine",30,0.42
"irgarol",10,0.01
"diuron",10,0.1
"ametryn",10,0.07
"tebuthiuron",10,0.68
"hexazinone",10,0.27
"simazine",100,0.36
"atrazine",30,0.33
"irgarol",10,0.01
"diuron",10,0.09
"ametryn",10,0.07
"tebuthiuron",10,0.68
"hexazinone",10,0.25
"simazine",100,0.38
"atrazine",30,0.35
"irgarol",10,0.02
"diuron",10,0.07
"ametryn",10,0.06
"tebuthiuron",10,0.68
"hexazinone",10,0.23
"simazine",100,0.36
"atrazine",30,0.39
"irgarol",10,0
"diuron",10,0.1
"ametryn",10,0.09
"tebuthiuron",10,0.69
"hexazinone",10,0.29
"simazine",100,0.39
"atrazine",30,0.36
"irgarol",10,0.02
"diuron",10,0.08
"ametryn",10,0.07
"tebuthiuron",10,0.67
"hexazinone",10,0.3
"simazine",100,0.34
"atrazine",30,0.36
"irgarol",10,0
"diuron",10,0.1
"ametryn",10,0.05
"tebuthiuron",10,0.69
"hexazinone",10,0.28
"simazine",100,0.35
"atrazine",30,0.32
"irgarol",10,0.01
"diuron",10,0.1
"ametryn",10,0.05
"tebuthiuron",10,0.64
"hexazinone",10,0.31
"simazine",100,0.36
"atrazine",30,0.37
"irgarol",30,0.01
"diuron",30,0.04
"ametryn",30,0.03
"tebuthiuron",30,0.61
"hexazinone",30,0.07
"simazine",300,0.18
"atrazine",100,0.19
"irgarol",30,0.01
"diuron",30,0.03
"ametryn",30,0.02
"tebuthiuron",30,0.59
"hexazinone",30,0.1
"simazine",300,0.22
"atrazine",100,0.14
"irgarol",30,0
"diuron",30,0.03
"ametryn",30,0.03
"tebuthiuron",30,0.62
"hexazinone",30,0.1
"simazine",300,0.17
"atrazine",100,0.19
"irgarol",30,0
"diuron",30,0.02
"ametryn",30,0.03
"tebuthiuron",30,0.57
"hexazinone",30,0.06
"simazine",300,0.2
"atrazine",100,0.15
"irgarol",30,0
"diuron",30,0.07
"ametryn",30,0.03
"tebuthiuron",30,0.6
"hexazinone",30,0.09
"simazine",300,0.17
"atrazine",100,0.13
"irgarol",30,0
"diuron",30,0.07
"ametryn",30,0.02
"tebuthiuron",30,0.6
"hexazinone",30,0.08
"simazine",300,0.18
"atrazine",100,0.16
"irgarol",30,0
"diuron",30,0.03
"ametryn",30,0.02
"tebuthiuron",30,0.58
"hexazinone",30,0.09
"simazine",300,0.16
"atrazine",100,0.14
"irgarol",30,0.01
"diuron",30,0.04
"ametryn",30,0.01
"tebuthiuron",30,0.59
"hexazinone",30,0.08
"simazine",300,0.18
"atrazine",100,0.18
"irgarol",30,0
"diuron",30,0.06
"ametryn",30,0.04
"tebuthiuron",30,0.63
"hexazinone",30,0.1
"simazine",300,0.2
"atrazine",100,0.22
"irgarol",30,0.01
"diuron",30,0.05
"ametryn",30,0.01
"tebuthiuron",30,0.59
"hexazinone",30,0.09
"simazine",300,0.18
"atrazine",100,0.18
"irgarol",30,0
"diuron",30,0.03
"ametryn",30,0
"tebuthiuron",30,0.6
"hexazinone",30,0.09
"simazine",300,0.24
"atrazine",100,0.14
"irgarol",30,0
"diuron",30,0.04
"ametryn",30,0
"tebuthiuron",30,0.63
"hexazinone",30,0.11
"simazine",300,0.25
"atrazine",100,0.2
"ametryn",100,0.01
"tebuthiuron",100,0.36
"hexazinone",100,0.04
"atrazine",1000,0.07
"ametryn",100,0.01
"tebuthiuron",100,0.32
"hexazinone",100,0.02
"atrazine",1000,0.08
"ametryn",100,0
"tebuthiuron",100,0.33
"hexazinone",100,0.01
"atrazine",1000,0.1
"ametryn",100,0
"tebuthiuron",100,0.3
"hexazinone",100,0.02
"atrazine",1000,0.06
"ametryn",100,0.04
"tebuthiuron",100,0.33
"hexazinone",100,0
"atrazine",1000,0.06
"ametryn",100,0.04
"tebuthiuron",100,0.33
"atrazine",1000,0.04
"ametryn",100,0.03
"tebuthiuron",100,0.27
"atrazine",1000,0.05
"ametryn",100,0
"tebuthiuron",100,0.33
"atrazine",1000,0.04
"ametryn",100,0.03
"tebuthiuron",100,0.27
"atrazine",1000,0.13
"ametryn",100,0.01
"tebuthiuron",100,0.33
"atrazine",1000,0.06
"ametryn",100,0.01
"tebuthiuron",100,0.34
"atrazine",1000,0.04
"ametryn",100,0.01
"tebuthiuron",100,0.27
"atrazine",1000,0.05
"ametryn",300,0.02
"tebuthiuron",300,0.18
"ametryn",300,0
"tebuthiuron",300,0.19
"ametryn",300,0
"tebuthiuron",300,0.19
"ametryn",300,0
"tebuthiuron",300,0.16
"ametryn",300,0
"tebuthiuron",300,0.16
"ametryn",300,0
"tebuthiuron",300,0.16
"ametryn",300,0
"tebuthiuron",300,0.15
"ametryn",300,0
"tebuthiuron",300,0.14
"ametryn",300,0.03
"tebuthiuron",300,0.17
"ametryn",300,0.05
"tebuthiuron",300,0.11
"ametryn",300,0.03
"tebuthiuron",300,0.12
"ametryn",300,0.02
"tebuthiuron",300,0.16
"tebuthiuron",1000,0.05
"tebuthiuron",1000,0.07
"tebuthiuron",1000,0.07
"tebuthiuron",1000,0.04
"tebuthiuron",1000,0.06
"tebuthiuron",1000,0.04
"tebuthiuron",1000,0.04
"tebuthiuron",1000,0.05
"tebuthiuron",1000,0.06
"tebuthiuron",1000,0.06
"tebuthiuron",1000,0.05
"tebuthiuron",1000,0.05
